time; o; d; v;
44.880000; 0.109447; 0.608051; 0.000249;
44.960000; 0.086281; 0.608018; 0.000584;
45.040000; 0.117826; 0.608061; 0.002067;
45.120000; 0.148348; 0.608078; 0.001763;
45.200000; 0.192180; 0.608114; 0.001315;
45.280000; 0.187633; 0.608087; 0.000080;
45.360000; 0.138053; 0.608080; 0.000070;
45.440000; 0.172761; 0.608079; 0.000066;
45.520000; 0.178333; 0.608034; 0.002108;
45.600000; 0.228269; 0.607982; 0.000048;
45.680000; 0.225297; 0.607914; 0.002119;
45.760000; 0.227552; 0.607838; 0.000978;
45.840000; 0.274183; 0.607781; 0.002073;
45.920000; 0.326834; 0.607736; 0.000104;
46.000000; 0.341388; 0.607733; 0.001061;
46.080000; 0.342892; 0.607730; 0.000075;
46.160000; 0.327306; 0.607775; 0.000767;
46.240000; 0.338022; 0.607687; 0.002242;
46.320000; 0.339082; 0.607645; 0.000358;
